emiten_code,year,date,eps,per,pbv,bvps,ebitda,roa,roe,fcf,fcf_ps,gdp_forecast,political_stability,inflation_forecast,return
TBLA,2022,Q4,49.71,13.98,0.54,1276.69,774204000000.0,1.12,3.89,-133326000000.0,-24.96,5.2,15.5,3.0,-6.082098748528093
TBLA,2022,Q3,28.69,25.79,0.58,1266.07,791956000000.0,0.7,2.27,1487827000000.0,278.51,5.2,15.5,3.0,-8.07436216944203
TBLA,2022,Q2,33.57,23.53,0.61,1285.63,813261000000.0,0.8,2.61,-841602000000.0,-157.54,5.2,15.5,3.0,-2.4243764047013756
TBLA,2022,Q1,37.92,21.76,0.66,1252.06,699675000000.0,0.93,3.03,-783499000000.0,-146.67,5.2,15.5,3.0,3.77380133058041
TBLA,2021,Q4,45.58,17.44,0.65,1213.82,714482000000.0,1.15,3.76,431160000000.0,80.71,3.7,17.9,3.0,-4.790680742628324
TBLA,2021,Q3,32.13,25.99,0.71,1179.32,785205000000.0,0.83,2.72,-287926000000.0,-53.9,3.7,17.9,3.0,4.375910328668238
TBLA,2021,Q2,34.66,23.08,0.68,1171.88,633573000000.0,0.94,2.96,155671000000.0,29.14,3.7,17.9,3.0,-10.112935176119679
TBLA,2021,Q1,36.39,24.59,0.79,1137.22,706369000000.0,0.99,3.2,100028000000.0,18.72,3.7,17.9,3.0,-4.812579243381481
TBLA,2020,Q4,51.09,18.3,0.85,1100.33,632430000000.0,1.4,4.64,-466527000000.0,-87.33,-2.2,18.4,3.0,27.211193824097045
TBLA,2020,Q3,15.72,46.76,0.7,1046.53,762461000000.0,0.42,1.5,-150354000000.0,-28.15,-2.2,18.4,3.0,32.43267914194431
TBLA,2020,Q2,41.13,13.49,0.53,1056.63,631499000000.0,1.14,3.89,-426530000000.0,-79.84,-2.2,18.4,3.0,14.197852600854796
TBLA,2020,Q1,18.98,25.61,0.48,1018.18,643336000000.0,0.55,1.86,-300570000000.0,-56.26,-2.2,18.4,3.0,-51.15630187065305
TBLA,2019,Q4,30.15,33.0,0.99,1002.1,397855000000.0,0.93,3.01,-62493000000.0,-11.7,5.1,17.5,3.5,6.990248951353703
TBLA,2019,Q3,26.7,34.83,0.97,960.65,638633000000.0,0.86,2.78,-362079000000.0,-67.78,5.1,17.5,3.5,9.41113362736918
TBLA,2019,Q2,29.19,29.12,0.89,958.95,617802000000.0,0.94,3.04,41230000000.0,7.72,5.1,17.5,3.5,1.7958985560004799
TBLA,2019,Q1,38.04,22.08,0.9,929.76,536422000000.0,1.23,4.09,137839000000.0,25.8,5.1,17.5,3.5,-3.4672601616492935
TBLA,2018,Q4,41.19,21.0,0.97,891.72,680222000000.0,1.35,4.62,78205000000.0,14.64,5.3,15.6,3.5,-17.619585251232756
TBLA,2018,Q3,35.22,29.67,1.28,817.02,878871100344.0,1.18,4.31,-401418000000.0,-75.14,5.3,15.6,3.5,17.318948047684284
TBLA,2018,Q2,27.56,32.11,1.15,766.93,283233899656.0,0.99,3.59,-109744000000.0,-20.54,5.3,15.6,3.5,-28.685381193434573
TBLA,2018,Q1,37.88,33.13,1.6,784.27,536812000000.0,1.43,4.83,-716899000000.0,-134.2,5.3,15.6,3.5,2.449131513647634
TBLA,2017,Q4,45.83,26.73,1.64,746.39,0.0,1.75,6.14,114607000000.0,21.45,5.1,17.1,4.0,-13.73282148616443
TBLA,2017,Q3,37.9,36.68,1.9,731.0,0.0,1.44,5.18,-81932000000.0,-15.34,5.1,17.1,4.0,-3.400882271850008
TBLA,2017,Q2,42.32,34.74,2.02,729.27,0.0,1.68,5.8,-377303000000.0,-70.63,5.1,17.1,4.0,17.599377472278054
TBLA,2017,Q1,51.59,24.23,1.82,686.96,0.0,2.13,7.51,573193000000.0,107.3,5.1,17.1,4.0,26.263215532152252
TBLA,2016,Q4,27.57,35.91,1.56,635.42,0.0,1.17,4.34,-499367000000.0,-93.48,5.1,21.4,4.0,1.0204714640198516
TBLA,2016,Q3,29.65,32.88,1.63,599.17,0.0,1.44,4.95,-231190000000.0,-43.28,5.1,21.4,4.0,68.96389078140561
TBLA,2016,Q2,45.79,12.45,0.96,593.4,0.0,2.35,7.72,20467000000.0,3.83,5.1,21.4,4.0,-4.916698503396845
TBLA,2016,Q1,12.2,50.0,1.11,547.61,0.0,0.66,2.23,-441398000000.0,-82.63,5.1,21.4,4.0,19.607025072515597
TBLA,2015,Q4,8.56,59.58,0.95,534.81,0.0,0.49,1.6,-654581000000.0,-122.53,5.2,17.1,4.0,13.082159466199359
TBLA,2015,Q3,0.85,537.65,0.97,470.51,0.0,0.05,0.18,-964635000000.0,-180.57,5.2,17.1,4.0,-13.269421874086634
TBLA,2015,Q2,10.46,49.71,1.1,470.6,0.0,0.71,2.22,97786000000.0,18.3,5.2,17.1,4.0,-19.380125043199598
TBLA,2015,Q1,18.39,35.07,1.26,513.49,0.0,1.21,3.58,-48805000000.0,-9.88,5.2,17.1,4.0,-14.5690742679228
ULTJ,2024,Q3,10.91,172.78,3.08,611.39,372939000000.0,1.6,1.78,-41361000000.0,-3.58,5.0,17.1,2.5,2.168021680216802
ULTJ,2024,Q2,30.3,61.06,3.08,600.55,406445000000.0,4.2,5.04,390865000000.0,33.83,5.0,17.1,2.5,-6.582278481012659
ULTJ,2024,Q1,35.06,56.33,3.26,606.31,509326000000.0,5.08,5.78,346056000000.0,29.95,5.0,17.1,2.5,23.4375
ULTJ,2023,Q4,19.92,80.32,2.8,571.32,326046000000.0,3.06,3.49,428523000000.0,37.09,4.9,17.5,3.0,-3.614457831325301
ULTJ,2023,Q3,28.4,58.45,3.01,550.77,402932000000.0,4.25,5.16,78669000000.0,6.81,4.9,17.5,3.0,-15.306122448979592
ULTJ,2023,Q2,22.12,88.38,3.73,523.69,354956000000.0,3.27,4.22,302941000000.0,26.22,4.9,17.5,3.0,39.00709219858156
ULTJ,2023,Q1,30.75,45.85,2.67,527.28,533928000000.0,4.75,5.83,197801000000.0,17.12,4.9,17.5,3.0,-4.406779661016949
ULTJ,2022,Q4,10.91,135.2,2.97,496.71,245524000000.0,1.71,2.2,-191180000000.0,-16.55,5.2,15.5,3.0,6.115107913669065
ULTJ,2022,Q3,19.61,70.88,2.85,487.36,345113000000.0,2.81,4.02,106889000000.0,9.25,5.2,15.5,3.0,-3.8062283737024223
ULTJ,2022,Q2,27.38,52.78,2.95,490.0,429824000000.0,4.0,5.59,752000000.0,0.07,5.2,15.5,3.0,-3.6666666666666665
ULTJ,2022,Q1,25.26,59.18,3.23,462.37,426670000000.0,3.72,5.46,-30981000000.0,-2.68,5.2,15.5,3.0,-4.45859872611465
ULTJ,2021,Q4,31.27,50.21,3.59,436.85,382341000000.0,4.88,7.16,135102000000.0,11.69,3.7,17.9,3.0,2.6143790849673203
ULTJ,2021,Q3,21.65,70.67,3.76,407.37,443354000000.0,2.77,5.31,310791000000.0,26.9,3.7,17.9,3.0,-0.32573289902280134
ULTJ,2021,Q2,22.22,69.08,3.32,462.38,383778000000.0,2.76,4.81,347764000000.0,30.1,3.7,17.9,3.0,0.9868421052631579
ULTJ,2021,Q1,34.93,43.37,3.44,440.32,392976000000.0,4.42,7.93,368705000000.0,31.91,3.7,17.9,3.0,-5.0
ULTJ,2020,Q4,10.9,146.79,3.94,405.58,393792000000.0,1.44,2.69,193734000000.0,16.77,-2.2,18.4,3.0,-5.604719764011799
ULTJ,2020,Q3,36.25,46.62,4.31,392.45,292055000000.0,7.5,9.24,591178000000.0,51.17,-2.2,18.4,3.0,2.727272727272727
ULTJ,2020,Q2,10.32,159.88,3.12,528.27,314387000000.0,1.69,1.95,129808000000.0,11.24,-2.2,18.4,3.0,10.0
ULTJ,2020,Q1,37.72,42.29,3.08,517.95,401429000000.0,6.11,7.28,-99913000000.0,-8.65,-2.2,18.4,3.0,-10.714285714285714
ULTJ,2019,Q4,18.87,89.03,3.5,480.24,331175000000.0,3.3,3.93,327421000000.0,28.34,5.1,17.5,3.5,6.329113924050633
ULTJ,2019,Q3,26.46,59.71,3.42,461.85,391032000000.0,4.78,5.73,-89720000000.0,-7.77,5.1,17.5,3.5,10.48951048951049
ULTJ,2019,Q2,18.06,79.18,3.28,435.39,314210000000.0,3.38,4.15,292223000000.0,25.29,5.1,17.5,3.5,15.32258064516129
ULTJ,2019,Q1,25.96,47.77,2.89,429.33,348856000000.0,5.12,6.05,263072000000.0,22.77,5.1,17.5,3.5,-8.148148148148149
ULTJ,2018,Q4,7.61,177.4,3.35,403.36,219704000000.0,1.58,1.89,-123907000000.0,-10.72,5.3,15.6,3.5,1.5037593984962405
ULTJ,2018,Q3,21.7,61.52,3.37,395.62,348705100344.0,4.49,5.49,315600000000.0,27.32,5.3,15.6,3.5,-5.0
ULTJ,2018,Q2,16.61,81.28,3.61,373.92,181201899656.0,3.55,4.44,214156000000.0,18.54,5.3,15.6,3.5,-11.949685534591195
ULTJ,2018,Q1,14.47,109.88,4.33,367.31,298690000000.0,3.2,3.94,-169638000000.0,-14.68,5.3,15.6,3.5,22.779922779922778
ULTJ,2017,Q4,5.4,239.81,3.66,353.56,0.0,1.2,1.53,256420232729.0,22.19,5.1,17.1,4.0,3.187250996015936
ULTJ,2017,Q3,22.64,55.43,3.59,349.51,0.0,5.32,6.48,248094534945.0,21.47,5.1,17.1,4.0,-0.09950248756218905
ULTJ,2017,Q2,49.03,102.47,3.84,1307.48,0.0,3.05,3.75,-6027048019.0,-2.09,5.1,17.1,4.0,17.406542056074766
ULTJ,2017,Q1,82.29,52.01,3.33,1284.86,0.0,5.48,6.4,222224280345.0,76.94,5.1,17.1,4.0,-6.3457330415754925
ULTJ,2016,Q4,54.0,84.67,3.8,1202.57,0.0,3.68,4.49,114292069598.0,39.57,5.1,21.4,4.0,5.299539170506913
ULTJ,2016,Q3,85.0,51.06,3.77,1151.94,0.0,6.16,7.38,266125641937.0,92.14,5.1,21.4,4.0,0.9302325581395349
